#This file maps hg38's rsem gene IDs to gene symbols
#Nir + Michael (Header), March 2015
#Gene RSEM ID	Gene Sybmol	Nir Type
gene28817	IGHV3-48_variant1	4
gene42669	IGHV3-48_variant2	4
gene135	WRAP73	1
gene23091	NXF1	1
gene45849	SNORA38_variant1	2
gene45494	SNORA38_variant2	2
gene44843	SNORA38_variant3	2
gene44395	SNORA38_variant4	2
gene13354	SNORA38_variant5	2
gene45144	SNORA38_variant6	2
gene43687	SNORA38_variant7	2
gene13654	TRERF1	1
gene42130	TRBV6-2_variant1	4
gene16675	TRBV6-2_variant2	4
gene1937	SEC22B	1
gene17891	gene17891	3
gene6731	ANO7	1
gene9701	CDKL2	1
gene46011	LOC102725038	2
gene8064	MIR544B	2
gene1067	CYP4A11	1
gene15127	LOC101927890	2
gene2349	LELP1	1
gene17573	KAT6A	1
gene1108	C1orf185	1
gene40886	SPANXN2	1
gene41141	ASMTL-AS1_variant1	2
gene39334	ASMTL-AS1_variant2	2
gene23800	RPL21P96	1
gene9126	SH3TC1	1
gene38699	RAB36	1
gene21751	LOC102724724	1
gene40636	GRIA3	1
gene6301	CRYGB	1
gene40384	BHLHB9	1
gene17225	LOC101929313	2
gene14785	DKFZp451B082	2
gene16296	PNPLA8	1
gene12910	TRNAR26	3
gene23697	LOC102723746	2
gene36615	ZNF444	1
gene29661	LOC100287243	1
gene26333	SGCG	1
gene12819	DCDC2	1
gene35235	HAUS8	1
gene25669	LOC101928779	2
gene40398	BEX4	1
gene31560	HYDIN	1
gene5702	LOC101928553	2
gene23316	RPS6KB2	1
gene33600	LOC100134391	1
gene23052	SCGB2A1	1
gene31948	LOC284009	2
gene38691	IGLC5	4
gene3925	OR2M4	1
gene23682	TUBAP2	1
gene5024	IGKV2-40	1
gene11756	PRRC1	1
gene30035	AP3B2	1
gene13982	gene13982	3
gene5677	ZEB2-AS1	2
gene5399	LOC100130100	4
gene34112	MIR133A1	2
gene4742	LOC101060051	1
gene6076	LOC102724395	2
gene29188	LOC101927579_variant1	2
gene43927	LOC101927579_variant2	2
gene11596	KRT18P42	1
gene5171	gene5171	3
gene12120	LOC101927031	2
gene17761	LOC101929675	2
gene40925	MIR514A3	2
gene11146	RPL31P8	1
gene10500	AADAT	1
gene35529	RGS9BP	1
gene18859	TRBVAOR9-2	4
gene30723	LOC100505915	2
gene11035	NIM1K	1
gene29943	ADAMTS7P3	1
gene46148	TRNE	1
gene33389	CLTC	1
gene38604	IGLV11-55	4
gene15402	MIR6837	2
gene14318	FAM26F	1
gene21046	COL13A1	1
gene1645	GPR88	1
gene39134	NFAM1	1
gene16208	ALKBH4	1
gene37050	NXT1	1
gene30277	LOC440313	3
gene24995	TROAP	1
gene17238	FAM86B2	1
gene28978	LOC100133165	1
gene12628	ECI2	1
gene36117	CCDC114	1
gene26162	RAN	1
gene22261	SNORA3	2
gene37497	SNORD12C	2
gene13971	EEF1A1	1
gene21634	RPL13AP6	1
gene4576	ATP1B3P1	1
gene8537	MIR15B	2
gene26468	B3GALTL	1
gene10024	GAR1	1
gene28555	MIR1185-2	2
gene13087	ZNF192P1	1
gene4304	FAM179A	1
gene10582	ING2	1
gene37898	TMPRSS15	1
gene40856	LINC00632	2
gene36177	TRPM4	1
gene34888	ZNF558	1
gene34534	LOC100996274	1
gene16110	GJC3	1
gene32128	TNFSF12-TNFSF13	1
gene25035	FAM186A	1
gene8016	RPL7AP11	1
gene2175	LOC102723816	2
gene140	LRRC47	1
gene5808	SLC4A10	1
gene6581	COPS7B	1
gene3569	C1orf95	1
gene42218	OR9A2_variant1	1
gene16755	OR9A2_variant2	1
gene3938	OR2G6	1
gene3866	LOC100420880	1
gene38663	IGLV3-15	4
gene34185	DSG4	1
gene36568	TMEM86B	1
gene39098	PHF5A	1
gene2942	SCARNA3	1
gene5140	NCAPH	1
gene29036	SNORD116-11	2
gene15199	TAX1BP1	1
gene3024	LOC284648	2
gene621	ZDHHC18	1
gene21767	C10orf88	1
gene25419	TMBIM4	1
gene6574	NMUR1	1
gene44083	KIR2DS4_variant1	1
gene44181	KIR2DS4_variant2	1
gene43369	KIR2DS4_variant3	1
gene44171	KIR2DS4_variant4	1
gene43342	KIR2DS4_variant5	1
gene44581	KIR2DS4_variant6	1
gene43315	KIR2DS4_variant7	1
gene43284	KIR2DS4_variant8	1
gene36549	KIR2DS4_variant9	1
gene44536	KIR2DS4_variant10	1
gene44109	KIR2DS4_variant11	1
gene43304	KIR2DS4_variant12	1
gene43350	KIR2DS4_variant13	1
gene44123	KIR2DS4_variant14	1
gene44142	KIR2DS4_variant15	1
gene44592	KIR2DS4_variant16	1
gene43296	KIR2DS4_variant17	1
gene45999	KIR2DS4_variant18	1
gene44607	KIR2DS4_variant19	1
gene45271	KIR2DS4_variant20	1
gene44568	KIR2DS4_variant21	1
gene46105	KIR2DS4_variant22	1
gene44563	KIR2DS4_variant23	1
gene44069	KIR2DS4_variant24	1
gene38300	LINC00163	2
gene9494	KDR	1
gene31544	ST3GAL2	1
gene18615	RLN2	1
gene26035	HPD	1
gene14454	MOXD1	1
gene30044	FAM103A1	1
gene12092	PPP2R2B-IT1	2
gene21629	PDCD4-AS1	2
gene21469	CNNM1	1
gene25708	IKBIP	1
gene989	RNF220	1
gene16189	CLDN15	1
gene22107	OR51A2	1
gene925	GUCA2B	1
gene19338	SPATA31D5P	1
gene23600	DLG2	1
gene4052	ITGB1BP1	1
gene25882	BRAP	1
gene23746	SESN3	1
gene37541	MIR3194	2
gene26093	FAM101A	1
gene27255	USP10P1	1
gene38671	MIR650	2
gene34819	SH2D3A	1
gene15834	RFC2	1
gene12569	LINC00266-3	2
gene1147	ZYG11B	1
gene32468	ABHD17AP6	1
gene15990	KRIT1	1
gene35803	SERTAD3	1
gene3555	LEFTY2	1
gene32901	KRT27	1
gene34284	PIAS2	1
gene26559	MIR621	2
gene21541	FBXL15	1
gene1069	CYP4X1	1
gene36093	CRX	1
gene40590	SNORA69	2
gene33808	MIR1250	2
gene27552	SLC22A17	1
gene11137	PLK2	1
gene25313	ARHGAP9	1
gene17318	gene17318	3
gene32526	LYRM9	1
gene38232	CRYAA	1
gene17491	SNORD13	2
gene29475	RPL7AP62	1
gene1811	gene1811	3
gene32776	LOC100419621_variant1	1
gene42949	LOC100419621_variant2	1
gene39907	SSX8	1
gene21367	RBP4	1
gene28581	LOC101929443	2
gene38077	ATP5O	1
gene30816	METTL9	1
gene42125	TRBV4-1_variant1	4
gene16670	TRBV4-1_variant2	4
gene2366	S100A4	1
gene29860	MIR6881	2
gene27868	GPR137C	1
gene15357	LOC101928688	2
gene16803	OR2A2	1
gene25360	RPL21P104	1
gene17689	RPS20	1
gene14838	LOC101929460	2
gene6371	LOC101928180	2
gene27435	TRAV38-2DV8	4
gene16292	LAMB1	1
gene35961	ZNF229	1
gene25620	LOC101928617	2
gene36827	DDRGK1	1
gene37976	GRIK1-AS2	2
gene20229	CLIC3	1
gene20458	MEIG1	1
gene23454	STARD10	1
gene13765	GLYATL3	1
gene39979	KLF8	1
gene14435	EPB41L2	1
gene27549	BCL2L2-PABPN1	1
gene7633	GPR27	1
gene508	LOC101060363	1
gene26789	DIAPH3-AS2	2
gene21802	MMP21	1
gene12805	LOC102724654	2
gene39806	SUV39H1	1
gene17759	LINC00966	2
gene11089	GZMA	1
gene6400	AAMP	1
gene25318	MBD6	1
gene13489	UQCC2	1
gene25007	FMNL3	1
gene3969	LOC102724562	1
gene37727	C20orf181	3
gene36495	CACNG8	1
gene14529	SLC35D3	1
gene27205	LOC101929355	1
gene29907	ODF3L1	1
gene39331	IL3RA_variant1	1
gene41136	IL3RA_variant2	1
gene27464	TRAJ48	3
gene9161	USP17L26	1
gene42131	TRBV3-2	4
gene6882	TSEN2	1
gene25170	MIR3198-2	2
gene39160	TSPO	1
gene41190	TTTY8B	2
gene36025	SYMPK	1
gene5543	CYP4F62P	1
gene2255	SEMA6C	1
gene10149	IL2	1
gene657	STX12	1
gene2523	LOC102724222	2
gene8904	LOC102723457	2
gene37935	MRPL39	1
gene30270	LOC102723320	2
gene42385	gene42385	3
gene8986	gene8986	3
gene29328	CASC5	1
gene22798	OR8H3	1
gene40243	CYLC1	1
gene4069	HPCAL1	1
gene31494	PLA2G15	1
gene23862	C11orf87	1
gene31504	CDH1	1
gene38761	KIAA1671	1
gene34895	OR7G2	1
gene26302	SAP18	1
gene21315	IFIT1	1
gene20352	CALML3	1
gene759	FNDC5	1
gene12601	SERPINB6	1
gene40763	gene40763	3
gene37409	SYS1	1
gene16390	RNF148	1
gene208	H6PD	1
gene30352	LOC100134368	2
gene4254	CAD	1
gene33870	HEXDC	1
gene35924	ETHE1	1
gene11209	gene11209	3
gene16468	IRF5	1
gene17364	R3HCC1	1
gene14563	gene14563	3
gene5389	IL36A	1
gene33351	SRSF1	1
gene19011	CNTNAP3	1
gene12682	EEF1E1	1
gene9084	MSX1	1
gene32420	MIR1180	2
gene23433	LAMTOR1	1
gene21598	gene21598	3
gene21083	ANAPC16	1
gene13675	MRPL2	1
gene20088	CELP	1
gene37219	LOC101926916	2
gene36274	C19orf48	1
gene12415	ZNF346	1
gene45630	NCR1_variant1	1
gene44538	NCR1_variant2	1
gene43174	NCR1_variant3	1
gene44948	NCR1_variant4	1
gene44162	NCR1_variant5	1
gene36552	NCR1_variant6	1
gene44174	NCR1_variant7	1
gene44145	NCR1_variant8	1
gene46048	NCR1_variant9	1
gene44112	NCR1_variant10	1
gene44051	NCR1_variant11	1
gene45273	NCR1_variant12	1
gene44566	NCR1_variant13	1
gene46002	NCR1_variant14	1
gene44184	NCR1_variant15	1
gene46108	NCR1_variant16	1
gene20780	LOC102724306	2
gene38367	LOC729057	1
gene13542	CLPSL1	1
gene606	CD52	1
gene27656	AP4S1	1
gene17655	NPBWR1	1
gene16823	TPK1	1
gene1868	LOC101928977	2
gene12608	RIPK1	1
gene40924	LOC101928863	2
gene36265	LRRC4B	1
gene18483	PARP10	1
gene32417	EPN2-IT1	2
gene10169	ANKRD50	1
gene9708	CXCL9	1
gene23113	SLC22A25	1
gene38315	LOC101928717	2
gene8421	EIF2A	1
gene28307	LOC101928740	2
gene32634	LOC101927057	2
gene16600	KIAA1549	1
gene36725	ZNF584	1
gene6780	CRBN	1
gene26615	TRNAE7	3
gene34522	LOC100131655	2
gene31018	LOC100862671	1
gene29374	PLA2G4F	1
gene19587	NCBP1	1
gene7138	TTC21A	1
gene37201	C20orf144	1
gene24751	FGFR1OP2	1
gene634	SLC9A1	1
gene9876	LOC133083	1
gene13783	RPS17P5	1
gene38659	IGLV3-19	4
gene28478	MIR2392	2
gene27877	gene27877	3
gene41723	TPO_variant1	1
gene3990	TPO_variant2	1
gene4622	RPS4XP5	1
gene3875	MIR3916	2
gene2813	MIR557	2
gene36762	LOC102724500	2
gene5159	TRIM43CP	1
gene5635	gene5635	3
gene28107	SMOC1	1
gene31226	RPS2P44	1
gene24081	MIR100	2
gene5179	TMEM131	1
gene7753	RPL18AP8	1
gene19323	gene19323	3
gene37932	MIR155HG	2
gene12546	TRNAP3	3
gene27558	MYH7	1
gene23906	TIMM8B	1
gene17506	KCNU1	1
gene14889	CYP2W1	1
gene9816	WDFY3-AS2	2
gene40907	CXorf51A	1
gene20937	BICC1	1
gene37517	gene37517	3
gene37236	MIR499B	2
gene15178	HOXA4	1
gene10236	ELF2	1
gene36919	SLX4IP	1
gene1948	NBPF26	1
gene20810	ANTXRL	1
gene8417	gene8417	3
gene34063	MC5R	1
gene4722	TGFA	1
gene29657	LOC102724972	2
gene26175	MMP17	1
gene7231	KIF15	1
gene22987	MS4A4E	1
gene42198	TRBJ1-4_variant1	1
gene16735	TRBJ1-4_variant2	1
gene4912	LOC90784	2
gene1778	CHIA	1
gene7631	MIR1284	2
gene11858	CATSPER3	1
gene3260	RPL21P19	1
gene418	PADI2	1
gene42976	LOC100287808_variant1	3
gene32816	LOC100287808_variant2	3
gene29738	SNORD18C	2
gene21160	LOC101929286	2
gene31533	RPS10P24	1
gene15184	HOXA9	1
gene23703	SNORA25	2
gene26411	LNX2	1
gene19623	ERP44	1
gene10411	TMEM144	1
gene21499	HIF1AN	1
gene8858	gene8858	3
gene19025	GLIDR	2
gene34186	DSG3	1
gene27005	LOC102724149	2
gene19697	RPL7AP44	1
gene19104	ATP5A1P9	1
gene11314	NSA2	1
gene32543	SLC46A1	1
gene30535	ZNF205	1
gene41010	MAGEA1	1
gene39100	POLR3H	1
gene15824	ABHD11	1
gene6612	INPP5D	1
gene4607	TMEM17	1
gene4743	PAIP2B	1
gene6639	HJURP	1
gene32677	gene32677	3
gene4406	THUMPD2	1
gene43621	C6orf136_variant1	1
gene44339	C6orf136_variant2	1
gene13288	C6orf136_variant3	1
gene45434	C6orf136_variant4	1
gene44785	C6orf136_variant5	1
gene45091	C6orf136_variant6	1
gene45801	C6orf136_variant7	1
gene1754	KCNC4	1
gene31747	LOC101928582	2
gene663	XKR8	1
gene10883	gene10883	3
gene12260	GAPDHP40	1
gene22991	MS4A7	1
gene19560	AAED1	1
gene11169	IPO11	1
gene30774	CLEC19A	1
gene35622	HAUS5	1
gene3244	ZC3H11A	1
gene38404	LOC100996342	2
gene34483	gene34483	3
gene35082	RNASEH2A	1
gene33012	CCR10	1
gene30675	TXNDC11	1
gene33670	MIR4738	2
gene11282	MAP1B	1
gene28833	IGHV3-60_variant1	4
gene42685	IGHV3-60_variant2	4
gene3534	NVL	1
gene32240	TMEM220	1
gene18424	ARC	1
gene22237	PPFIBP2	1
gene12769	LOC101928491	2
gene25269	STAT2	1
gene40172	RPS7P14	1
gene22875	SMTNL1	1
gene13009	TRNAS19	3
gene18005	LINC01030	2
gene15328	TRGV11	4
gene31021	RNF40	1
gene29192	LOC101930434	1
gene1191	HNRNPA1P63	1
gene35193	OR10H3	1
gene41633	LOC100996316	2
gene14975	CYTH3	1
gene15226	PLEKHA8	1
gene4958	MIR4780	2
gene36220	MIR6800	2
gene18137	NCALD	1
gene22857	OR5AK2	1
gene19690	DEPDC1P2	1
gene35582	LOC102723513	2
gene19070	SPATA31A6	1
gene19172	LOC102724507	2
gene17330	REEP4	1
gene27396	TRAV13-1	4
gene38148	LOC102724678	2
gene18308	MTSS1	1
gene16291	DLD	1
gene16925	CDK5	1
gene6775	LOC101930259	2
gene31290	LOC100996338	2
gene23391	PPFIA1	1
gene21085	DNAJB12	1
gene18626	MLANA	1
gene38378	LOC102723957	1
gene1647	gene1647	3
gene7002	LOC101927874	2
gene9683	CXCL5	1
gene28945	MIR5701-2	2
gene13729	MIR586	2
gene41000	CETN2	1
gene41239	TSPY8	1
gene32391	ZNF286B	1
gene28497	SNORD113-4	2
gene6123	LOC101927454	2
gene11505	RHOBTB3	1
gene21725	RGS10	1
gene26794	LINC00378	2
gene17134	DEFB104A	1
gene34583	FSTL3	1
gene43523	OR5V1_variant1	1
gene13189	OR5V1_variant2	1
gene44687	OR5V1_variant3	1
gene45711	OR5V1_variant4	1
gene45010	OR5V1_variant5	1
gene910	LOC102724706	1
gene646	FCN3	1
gene33793	NPTX1	1
gene9697	gene9697	3
gene7901	ZBED2	1
gene23034	TMEM258	1
gene10382	NPY2R	1
gene35798	PLD3	1
gene4865	LOC101928031	2
gene38906	SLC5A1	1
gene16834	MIR548F4	2
gene42213	EPHB6_variant1	1
gene16750	EPHB6_variant2	1
gene30977	LOC102723572	1
gene14794	GAPDHP72	1
gene42624	IGHVIII-25-1_variant1	4
gene28772	IGHVIII-25-1_variant2	4
gene13105	TRNAT16	3
gene14370	SERINC1	1
gene2138	TRNAQ8	3
gene40409	LOC102724311	2
gene13905	ADH5P4_variant1	1
gene42075	ADH5P4_variant2	1
gene921	EDN2	1
gene21956	SNORA52	2
gene13113	TRNAR7_variant1	3
gene43447	TRNAR7_variant2	3
gene33284	CACNA1G-AS1	2
gene22639	LRP4	1
gene1250	TM2D1	1
gene7052	LOC101928056	2
gene34866	CCL25	1
gene18668	LOC101929489	2
gene13107	TRNAL12	3
gene35346	ZNF253	1
gene16424	MIR592	2
gene9382	CHRNA9	1
gene12683	SCARNA27	3
gene2273	CGN	1
gene7108	C3orf35	1
gene32657	UBL5P2	1
gene20413	LOC439951	3
gene9765	RPSAP39	1
gene38648	IGLV2-28	4
gene33650	MIF4GD	1
gene18573	SMARCA2	1
gene29757	gene29757	3
gene34783	FUT5	1
gene20704	MTRNR2L7	1
gene42664	IGHV1-45_variant1	4
gene28812	IGHV1-45_variant2	4
gene36101	SNAR-A2	2
gene42472	LINC00417_variant1	2
gene26240	LINC00417_variant2	2
gene7651	LOC101927321	2
gene29279	LARP4P	1
gene27800	LINC00648	2
gene5886	SP5	1
gene28057	ATP6V1D	1
gene12909	TRNAS25	3
gene33692	RNF157	1
gene32032	SPAG7	1
gene10612	LRP2BP	1
gene27414	TRAV23DV6	4
gene12408	MIR4281	2
gene4706	SNRNP27	1
gene39841	GAGE12D	1
gene458	PLA2G2E	1
gene25757	ASCL1	1
gene29111	MIR4715	2
gene31473	TSNAXIP1	1
gene30991	LOC613037	1
gene16767	FAM131B	1
gene18738	IFNA10	1
gene21571	MIR1307	2
gene20815	HNRNPA1P33	1
gene2953	gene2953	3
gene18337	PVT1	2
gene8549	NMD3	1
gene34355	C18orf54	1
gene749	LOC101929254	1
gene9393	UCHL1-AS1	2
gene20307	LARP4B	1
gene22558	RAG2	1
gene2673	LOC102724602	1
gene2029	TRNAN15_variant1	3
gene41674	TRNAN15_variant2	3
gene32487	LOC101930665	2
gene29644	VPS13C	1
gene24723	LINC00477	2
gene23949	REXO2	1
gene3664	LOC101927504	2
gene24100	MIR4493	2
gene15	LOC102723917	2
gene4173	LOC102723362	2
gene32251	RPL21P122	1
gene24303	DCP1B	1
gene33515	CEP112	1
gene1503	LOC729930	1
gene24321	TULP3	1
gene5687	PABPC1P2	1
gene25856	ATP2A2	1
gene22463	LGR4	1
gene39363	TRNAI26	3
gene6995	LINC00691	2
gene37721	ZGPAT	1
gene23769	LOC101054525	2
gene42074	SLC25A51P1_variant1	1
gene13904	SLC25A51P1_variant2	1
gene27449	TRDC	4
gene39995	MYCLP2	1
gene26458	TRNAN7	3
gene9112	TADA2B	1
gene24922	LOC101927135	2
gene17210	DEFB136	1
gene33902	MIR8078	2
gene16568	FAM180A	1
gene11871	SLC25A48	1
gene36634	LOC101928982	2
gene33077	G6PC3	1
gene14451	MIR548AJ1	2
gene10997	RPL37	1
gene42609	IGHV1-17_variant1	4
gene28757	IGHV1-17_variant2	4
gene4665	gene4665	3
gene28096	GALNT16	1
gene27096	METTL21C	1
gene7137	GORASP1	1
gene37563	CYP24A1	1
gene3373	SERTAD4-AS1	2
gene6367	SMARCAL1	1
gene16923	ABCB8	1
gene31062	AHSP	1
gene13678	SRF	1
gene38211	LOC101930249	2
gene3915	OR2L6P	1
gene5807	KRT18P46	1
gene18247	MAL2	1
gene34808	TUBB4A	1
gene35289	PGPEP1	1
gene35232	SIN3B	1
gene22582	LOC101928704	2
gene11739	GRAMD3	1
gene34675	MIR7108	2
gene18984	FBXO10	1
gene5950	EVX2	1
gene39058	CACNA1I	1
gene35567	SCGB1B2P	1
gene42535	MIR8071-2_variant1	2
gene28683	MIR8071-2_variant2	2
gene26037	WDR66	1
gene40581	SLC25A5-AS1	2
gene33229	ATP5G1	1
gene27945	DACT1	1
gene5151	ANKRD23	1
gene36285	LOC390956	1
gene11189	PPWD1	1
gene8219	DNAJC13	1
gene24076	LOC100507165	2
gene39226	TRMU	1
gene17469	SMIM18	1
gene37926	gene37926	3
gene29671	USP3	1
gene20457	DCLRE1C	1
gene7621	FRMD4B	1
gene32770	RPS2P49_variant1	1
gene42943	RPS2P49_variant2	1
gene22345	CYP2R1	1
gene41751	gene41751	3
gene7551	C3orf67	1
gene26961	LINC00353	2
gene23165	LOC101927738	2
gene30720	MIR1972-1_variant1	2
gene42828	MIR1972-1_variant2	2
gene22028	OSBPL5	1
gene37451	MMP9	1
gene27567	DHRS2	1
gene27450	TRDV3	4
gene21564	MARCKSL1P1	1
gene5008	IGKV2-24	4
gene4042	gene4042	3
gene41023	PNCK	1
gene30441	MSRB1	1
gene26109	AACS	1
gene29384	HAUS2	1
gene27887	SAMD4A	1
gene18886	FAM219A	1
gene16937	SMARCD3	1
gene27443	TRDD2	3
gene8284	A4GNT	1
gene20777	C10orf25	1
gene8946	LOC102723589	2
gene31679	GCSH	1
gene10963	RPS4XP6	1
gene19153	LOC644339	1
gene4387	LOC100996902	2
gene12462	CLK4	1
gene5636	CXCR4	1
gene43978	LOC102724862_variant1	1
gene32747	LOC102724862_variant2	1
gene42921	LOC102724862_variant3	1
gene25483	PTPRR	1
gene5943	RPL21P31	1
gene4878	TMSB10	1
gene26980	MIR20A	2
gene9684	CXCL3	1
gene7460	MIRLET7G	2
gene11857	MIR4461	2
gene35156	OR7A10	1
gene1381	TPI1P1	1
gene24546	STYK1	1
gene22045	CHRNA10	1
gene39086	EP300	1
gene38563	HIC2	1
gene32646	COPRS	1
gene15795	TRIM74	1
gene42810	PARN_variant1	1
gene30703	PARN_variant2	1
gene7234	TMEM42	1
gene12341	EFCAB9	1
gene33756	CYTH1	1
gene34682	DIRAS1	1
gene5155	LOC101927053	2
gene4549	PNPT1	1
gene13775	DEFB133	1
gene15252	PDE1C	1
gene41740	NOSTRIN_variant1	1
gene5858	NOSTRIN_variant2	1
gene39072	RPL4P6	1
gene37088	NINL	1
gene43191	LOC100134423	2
gene28033	MAX	1
gene25522	OSBPL8	1
gene5145	FER1L5	1
gene17567	LOC102723729	2
gene931	PPCS	1
gene34193	SLC25A52	1
gene15218	MIR550A3	2
gene54	MIR200B	2
gene35608	FFAR3	1
gene42732	HERC2P2_variant1	1
gene28972	HERC2P2_variant2	1
gene20053	FIBCD1	1
gene1182	TCEANC2	1
gene12753	LOC102724520	2
gene39022	DMC1	1
gene12519	HEIH	2
gene36839	C20orf27	1
gene28347	RPS6KA5	1
gene16199	LOC101927772	2
gene30437	FAHD1	1
gene9134	HMX1	1
gene14882	gene14882	3
gene33042	BRCA1	1
gene21583	SLK	1
gene9261	MIR218-1	2
gene15814	BAZ1B	1
gene14639	LOC645967	3
gene10153	BBS12	1
gene16542	LRGUK	1
gene36734	MIR6807	2
gene33269	COL1A1	1
gene21722	GRK5	1
gene32470	gene32470	3
gene39457	AP1S2	1
gene32012	LOC101559451	2
gene103	TMEM52	1
gene41313	PSMA6P1	1
gene36134	CA11	1
gene22749	OR4A15	1
gene12727	LOC101928281	2
gene324	PRDM2	1
gene9296	SEL1L3	1
gene25302	MIR1228	2
gene15093	LOC100506098	2
gene21020	SNORD98	2
gene30931	RRN3P2	1
gene5447	LOC100125918	3
gene9281	LGI2	1
gene39823	WDR45	1
gene14109	ANKRD6	1
gene6846	CIDECP	1
gene11815	SHROOM1	1
gene40006	ARHGEF9	1
gene22818	OR8J1_variant1	1
gene42401	OR8J1_variant2	1
gene6555	GPR55	1
gene24123	VWA5A	1
gene32699	LOC102724792	2
gene5216	gene5216	3
gene23481	C2CD3	1
gene9027	NAT8L	1
gene26609	LOC102723579	2
gene9203	RNPS1P1	1
gene39314	LOC102724751	1
gene20516	LOC101928904	1
gene43806	LOC102723872_variant1	1
gene14870	LOC102723872_variant2	1
gene17445	DUSP4	1
gene41237	TTTY20	2
gene29809	GRAMD2	1
gene172	ZBTB48	1
gene27408	TRAV18	4
gene16083	BUD31	1
gene11561	FAM174A	1
gene36724	LOC100506634	3
gene40280	PABPC5	1
gene10178	LOC101060158	1
gene4492	FBXO11	1
gene28643	LOC101929949	2
gene12614	PSMG4	1
gene1672	AMY1B	1
gene6000	LOC102724244	2
gene26516	RFXAP	1
gene45110	C6orf15_variant1	1
gene44805	C6orf15_variant2	1
gene45455	C6orf15_variant3	1
gene13310	C6orf15_variant4	1
gene44361	C6orf15_variant5	1
gene43643	C6orf15_variant6	1
gene15487	LOC102723522	2
gene19906	MIR181B2	2
gene37295	LOC102724936	2
gene2398	TPM3	1
gene41446	PRY	1
gene20953	CDK1	1
gene34872	RPS28	1
gene31598	HCCAT5	2
gene12811	RPL6P18	1
gene26565	WBP4	1
gene5392	IL1F10	1
gene24963	SNORA2A	2
gene16232	NFE4	1
gene1572	GCLM	1
gene27966	PPM1A	1
gene21347	CPEB3	1
gene14899	INTS1	1
gene178	CAMTA1	1
gene34753	gene34753	3
gene1139	ORC1	1
gene10322	LOC102724672	2
gene10910	LOC102723653	2
gene3323	IL24	1
gene28437	BDKRB1	1
gene37146	ID1	1
gene686	TAF12	1
gene4438	THADA	1
gene36226	TBC1D17	1
gene23136	COX8A	1
gene28659	CDCA4	1
gene4185	C2orf44	1
gene22497	IMMP1L	1
gene11705	FTMT	1
gene39030	DNAL4	1
gene15107	DNAH11	1
gene2738	RGS4	1
gene27687	SNX6	1
gene5427	DDX18	1
gene11290	LOC102477328	2
gene23200	ZNHIT2	1
gene21580	LOC102724324	2
gene17163	gene17163	3
gene20062	POMT1	1
gene22428	MIR4694	2
gene26062	OGFOD2	1
gene2125	PDZK1P2	1
gene33297	NME1-NME2	1
gene15600	MIR4283-1	2
gene13020	TRNAR5	3
gene9682	PPBP	1
gene40884	SLITRK4	1
gene32840	CACNB1	1
gene39707	KDM6A	1
gene6327	ACADL	1
gene13776	DEFB114	1
gene25473	LRRC10	1
gene22615	PEX16	1
gene14398	MIR588	2
gene20623	CKS1BP2	1
gene13782	TFAP2B	1
gene6829	ARPC4-TTLL3	1
gene15079	LOC102724098	2
gene19210	LOC101927602	2
gene32478	TMEM11	1
gene20659	LOC102031319	2
gene31688	LOC100129617	2
gene45952	MIR5004_variant1	2
gene13482	MIR5004_variant2	2
gene975	IPO13	1
gene8265	PCCB	1
gene3118	MIR4735	2
gene34436	LOC102724806	1
gene16558	MIR6509	2
gene18542	COMMD5	1
gene23356	SUV420H1	1
gene34292	HDHD2	1
gene5670	ARHGAP15	1
gene2283	TDRKH	1
gene8673	GNB4	1
gene22967	OSBP	1
gene10548	SPATA4	1
gene40561	DOCK11	1
gene39189	PRR5	1
gene20138	MIR3689E	2
gene14439	RPL21P67	1
gene17129	PRR23D2	1
gene2343	SPRR2B	1
gene31933	OVCA2	1
gene17292	ASAH1	1
gene36014	GIPR	1
gene13791	MIR206	2
gene14508	AHI1	1
gene2850	GORAB	1
gene23428	IL18BP	1
gene13018	TRNAS9	3
gene22675	OR4S1	1
gene19832	PSMD5	1
gene20482	RSU1	1
gene8310	ACTG1P1	1
gene7118	DLEC1	1
gene25985	PXN-AS1	2
gene39099	ACO2	1
gene16996	LOC777650	1
gene5142	ARID5A	1
gene25639	UBE2N	1
gene16323	C7orf60	1
gene39093	MIR6889	2
gene39557	MAGEB6	1
gene19467	LINC00475	2
gene29075	SNORD115-17	2
gene8221	ACAD11	1
gene1484	LMO4	1
gene10625	KLKB1	1
gene14300	LOC101927794	2
gene8524	SCHIP1	1
gene12041	HDAC3	1
gene28549	MIR376A2	2
gene41619	LOC102723393	2
gene23103	SNORD26	2
gene1472	CLCA1	1
gene33608	KIF19	1
gene37977	GRIK1-AS1	2
gene23642	RAB38	1
gene29559	MIR628	2
gene18868	SNORD121B	2
gene904	NFYC	1
gene8367	PLSCR4	1
gene30626	LOC102723308	2
gene29136	MIR4509-3_variant1	2
gene43878	MIR4509-3_variant2	2
gene42757	MIR4509-3_variant3	2
gene28315	KCNK10	1
gene30818	OTOA	1
gene10427	FSTL5	1
gene33579	LOC102723505	2
gene10684	AHRR	1
gene26606	SMIM2-IT1	2
gene16082	PDAP1	1
gene10695	ZDHHC11B	1
gene22314	MIR8070	2
gene7424	MANF	1
gene36729	ZNF324	1
gene21475	ENTPD7	1
gene783	GJB5	1
gene5681	LOC100505498	1
gene11347	S100Z	1
gene14160	TSTD3	1
gene11422	ATP6AP1L	1
