,chr,start,end,bp_overlap,bed
698,chr6,48629644,48630132,405,CD8
699,chr6,48682754,48683453,525,CD8
700,chr6,50366656,50367428,487,CD8
701,chr6,51419307,51420748,441,CD8
702,chr6,51530355,51530636,281,CD8
703,chr6,56829406,56829937,422,CD8
704,chr6,57484867,57486404,495,CD8
705,chr6,59375947,59376667,428,CD8
706,chr6,65513890,65515060,361,CD8
707,chr6,66986358,66987771,348,CD8
708,chr6,67482829,67483558,502,CD8
709,chr6,71912579,71913129,432,CD8
710,chr6,72462321,72463065,466,CD8
711,chr6,72551797,72552074,277,CD8
712,chr6,72943155,72943800,430,CD8
713,chr6,82871527,82872296,479,CD8
714,chr6,83028049,83028612,390,CD8
715,chr6,83398831,83399342,370,CD8
716,chr6,84606612,84606847,235,CD8
717,chr6,86797911,86798148,237,CD8
718,chr6,86990977,86991458,379,CD8
719,chr6,87491898,87492425,527,CD8
720,chr6,91074791,91075192,341,CD8
721,chr6,97473201,97473414,213,CD8
722,chr6,98942873,98943510,244,CD8
723,chr6,103598983,103599392,380,CD8
724,chr6,108259829,108260373,269,CD8
725,chr6,108288174,108288687,272,CD8
726,chr6,112811807,112812316,360,CD8
727,chr6,113588205,113588870,435,CD8
728,chr6,122220057,122220606,220,CD8
729,chr6,122692286,122693120,458,CD8
730,chr6,124700481,124700848,358,CD8
731,chr6,125215086,125215734,374,CD8
732,chr6,125302961,125303991,565,CD8
733,chr6,125376380,125376868,371,CD8
734,chr6,126798860,126799457,490,CD8
735,chr6,129234276,129235168,336,CD8
736,chr6,129558317,129559102,529,CD8
737,chr6,131213860,131214140,220,CD8
738,chr6,134590659,134591517,399,CD8
739,chr6,136413594,136413921,327,CD8
740,chr6,140547016,140547450,380,CD8
741,chr6,140569117,140569427,310,CD8
742,chr6,142520455,142520853,335,CD8
743,chr6,142771640,142772288,305,CD8
744,chr6,142865888,142866510,600,CD8
745,chr6,144618883,144619781,442,CD8
746,chr6,146382739,146383276,443,CD8
747,chr6,149314769,149315371,296,CD8
748,chr7,13494807,13496066,485,CD8
749,chr7,16534628,16535075,338,CD8
750,chr7,28718260,28719025,411,CD8
751,chr7,28953775,28954101,326,CD8
752,chr7,29167787,29168395,502,CD8
753,chr7,29526623,29527307,402,CD8
754,chr7,29919685,29920255,280,CD8
755,chr7,31004803,31005143,288,CD8
756,chr7,31158523,31158963,372,CD8
757,chr7,52765349,52766162,516,CD8
758,chr7,54262978,54264142,388,CD8
759,chr7,59011556,59011991,359,CD8
760,chr7,73378059,73378650,470,CD8
761,chr7,75215548,75215981,277,CD8
762,chr7,75416773,75417011,238,CD8
763,chr7,79420063,79420981,340,CD8
764,chr7,79452912,79453312,226,CD8
765,chr7,80682518,80683122,316,CD8
766,chr7,82599942,82600654,431,CD8
767,chr7,89796787,89797898,304,CD8
768,chr7,96320354,96320694,340,CD8
769,chr7,97155590,97156251,553,CD8
770,chr7,97493202,97493913,533,CD8
771,chr7,106577382,106577723,230,CD8
772,chr7,108449803,108451054,448,CD8
773,chr7,120656635,120657616,352,CD8
774,chr7,121304584,121304988,404,CD8
775,chr7,121357111,121357481,370,CD8
776,chr7,121623189,121624032,459,CD8
777,chr7,123627715,123628282,412,CD8
778,chr7,126979439,126980374,231,CD8
779,chr7,132615455,132616310,588,CD8
780,chr7,132655434,132655657,223,CD8
781,chr7,134376481,134377003,54,CD8
782,chr7,139594251,139594848,551,CD8
783,chr7,139847758,139848676,414,CD8
784,chr7,147392905,147393229,324,CD8
785,chr7,147560133,147560601,390,CD8
786,chr7,148167650,148167988,302,CD8
787,chr7,149539776,149540499,392,CD8
788,chr7,150898652,150899695,355,CD8
789,chr8,4324934,4325835,312,CD8
790,chr8,13213360,13214255,307,CD8
791,chr8,13601173,13601602,413,CD8
792,chr8,15018098,15019250,112,CD8
793,chr8,23170300,23171387,440,CD8
794,chr8,23949105,23949631,449,CD8
795,chr8,26384544,26385668,569,CD8
796,chr8,26764325,26764894,494,CD8
797,chr8,28247404,28247861,446,CD8
798,chr8,34832517,34832947,338,CD8
799,chr8,36659804,36660714,407,CD8
800,chr8,36696704,36697720,453,CD8
801,chr8,37257075,37257647,446,CD8
802,chr8,47944613,47945345,381,CD8
803,chr8,72520065,72520754,343,CD8
804,chr8,73073512,73074039,349,CD8
805,chr8,73196946,73197715,532,CD8
806,chr8,74763445,74764475,287,CD8
807,chr8,74945249,74946002,358,CD8
808,chr8,77606195,77606729,480,CD8
809,chr8,82202960,82203236,276,CD8
810,chr8,84290066,84290371,274,CD8
811,chr8,86496478,86496972,416,CD8
812,chr8,87227114,87227950,602,CD8
813,chr8,89362569,89363247,534,CD8
814,chr8,106966259,106967210,311,CD8
815,chr8,107790885,107791176,234,CD8
816,chr8,108089500,108090849,84,CD8
817,chr8,108350957,108351777,280,CD8
818,chr8,113462885,113463504,221,CD8
819,chr8,114119545,114120214,623,CD8
820,chr8,114500166,114500914,340,CD8
821,chr8,117702219,117702526,239,CD8
822,chr8,119076147,119076544,397,CD8
823,chr8,119114158,119114863,333,CD8
824,chr8,119576971,119577509,277,CD8
825,chr8,124808269,124808478,209,CD8
826,chr8,124808833,124809195,183,CD8
827,chr8,126799576,126800063,480,CD8
828,chr8,127245753,127246497,665,CD8
829,chr8,127590816,127591875,440,CD8
830,chr8,129391305,129392061,485,CD8
831,chr8,130486796,130487132,336,CD8
832,chr8,130914993,130915610,371,CD8
833,chr9,3032298,3032624,185,CD8
834,chr9,3035672,3036062,390,CD8
835,chr9,14833604,14833925,231,CD8
836,chr9,20455929,20456780,403,CD8
837,chr9,21069473,21069977,328,CD8
838,chr9,22455259,22455517,258,CD8
839,chr9,24346467,24346725,258,CD8
840,chr9,30234315,30235064,166,CD8
841,chr9,32345796,32346171,375,CD8
842,chr9,32548371,32548923,264,CD8
843,chr9,32718111,32718698,373,CD8
844,chr9,32868038,32868876,437,CD8
845,chr9,35112733,35113234,501,CD8
846,chr9,36574862,36576034,112,CD8
847,chr9,39999733,40000482,138,CD8
848,chr9,40257386,40258007,578,CD8
849,chr9,40926120,40926495,375,CD8
850,chr9,43821121,43821354,49,CD8
851,chr9,44187176,44187785,457,CD8
852,chr9,44346003,44346311,308,CD8
853,chr9,45957415,45957793,378,CD8
854,chr9,48863405,48864087,383,CD8
855,chr9,57495314,57495712,398,CD8
856,chr9,58431045,58431434,216,CD8
857,chr9,59138931,59139636,442,CD8
858,chr9,60845998,60847354,609,CD8
859,chr9,61225501,61225927,245,CD8
860,chr9,61517474,61518048,476,CD8
861,chr9,61555407,61556134,537,CD8
862,chr9,63450044,63450752,332,CD8
863,chr9,63568503,63569042,539,CD8
864,chr9,63585828,63586186,33,CD8
865,chr9,65398776,65399271,98,CD8
866,chr9,68881806,68882765,704,CD8
867,chr9,69152159,69152805,309,CD8
868,chr9,71945829,71946265,433,CD8
869,chr9,75257655,75258336,536,CD8
870,chr9,78295755,78296297,474,CD8
871,chr9,88274843,88275635,310,CD8
872,chr9,95212122,95212452,282,CD8
873,chr9,107888693,107888925,218,CD8
874,chr9,108961503,108962376,424,CD8
875,chr9,109833752,109834509,343,CD8
876,chr9,114349671,114350217,417,CD8
877,chr9,119652952,119653691,384,CD8
878,chr9,119939077,119939995,486,CD8
879,chr9,120486165,120486717,441,CD8
880,chr9,122097730,122098294,464,CD8
881,chr9,123370939,123371304,296,CD8
882,chrM,49,4961,2287,CD8
883,chrX,13229307,13229713,241,CD8
884,chrX,23250449,23250757,253,CD8
885,chrX,39696487,39697135,479,CD8
886,chrX,45792201,45792656,405,CD8
887,chrX,73843814,73844572,265,CD8
888,chrX,73843814,73844572,335,CD8
889,chrX,82819660,82819882,222,CD8
890,chrX,98962551,98963075,107,CD8
891,chrX,99227049,99227556,400,CD8
892,chrX,103899863,103900446,284,CD8
893,chrX,109484302,109484850,434,CD8
894,chrX,139917423,139917791,214,CD8
895,chr1,13373562,13373855,293,Treg_Foxp3_all
896,chr1,13629488,13630088,600,Treg_Foxp3_all
897,chr1,33940182,33940737,555,Treg_Foxp3_all
898,chr1,39253691,39253903,212,Treg_Foxp3_all
899,chr1,39770810,39771171,361,Treg_Foxp3_all
900,chr1,39899068,39899926,858,Treg_Foxp3_all
901,chr1,40327979,40328251,272,Treg_Foxp3_all
902,chr1,40439627,40440118,491,Treg_Foxp3_all
903,chr1,40532491,40532965,474,Treg_Foxp3_all
904,chr1,40536298,40536703,405,Treg_Foxp3_all
905,chr1,46920859,46921567,708,Treg_Foxp3_all
906,chr1,46948805,46949188,383,Treg_Foxp3_all
907,chr1,52076381,52077046,665,Treg_Foxp3_all
908,chr1,52112687,52113080,385,Treg_Foxp3_all
909,chr1,52123607,52123816,209,Treg_Foxp3_all
910,chr1,53901883,53902493,610,Treg_Foxp3_all
911,chr1,54717391,54717991,600,Treg_Foxp3_all
912,chr1,60955522,60955858,336,Treg_Foxp3_all
913,chr1,60955911,60956452,541,Treg_Foxp3_all
914,chr1,61102801,61103453,652,Treg_Foxp3_all
915,chr1,61106954,61107510,556,Treg_Foxp3_all
916,chr1,69590781,69591131,350,Treg_Foxp3_all
917,chr1,79747646,79749308,660,Treg_Foxp3_all
918,chr1,80104402,80104635,233,Treg_Foxp3_all
919,chr1,80358523,80358728,205,Treg_Foxp3_all
920,chr1,80358856,80359425,569,Treg_Foxp3_all
921,chr1,80640485,80640825,340,Treg_Foxp3_all
922,chr1,80666883,80667353,383,Treg_Foxp3_all
923,chr1,82828928,82829569,641,Treg_Foxp3_all
924,chr1,88477058,88477290,232,Treg_Foxp3_all
925,chr1,90483684,90484424,740,Treg_Foxp3_all
926,chr1,93947562,93948451,734,Treg_Foxp3_all
927,chr1,94015719,94016232,513,Treg_Foxp3_all
928,chr1,108457582,108457811,229,Treg_Foxp3_all
929,chr1,108457862,108458174,312,Treg_Foxp3_all
930,chr1,108466198,108466625,427,Treg_Foxp3_all
931,chr1,108497076,108498090,935,Treg_Foxp3_all
932,chr1,108509028,108509736,708,Treg_Foxp3_all
933,chr1,127364346,127364925,579,Treg_Foxp3_all
934,chr1,129129605,129130220,615,Treg_Foxp3_all
935,chr1,129193368,129193796,428,Treg_Foxp3_all
936,chr1,129241572,129241892,320,Treg_Foxp3_all
937,chr1,129245444,129245644,200,Treg_Foxp3_all
938,chr1,130683437,130684276,736,Treg_Foxp3_all
939,chr1,130727314,130727559,245,Treg_Foxp3_all
940,chr1,132889935,132890771,738,Treg_Foxp3_all
941,chr1,132919182,132919552,370,Treg_Foxp3_all
942,chr1,132977255,132977697,442,Treg_Foxp3_all
943,chr1,133007303,133007786,483,Treg_Foxp3_all
944,chr1,133907082,133907918,836,Treg_Foxp3_all
945,chr1,140040879,140041304,425,Treg_Foxp3_all
946,chr1,140456286,140456678,392,Treg_Foxp3_all
947,chr1,140870094,140870612,518,Treg_Foxp3_all
948,chr1,145923083,145923601,518,Treg_Foxp3_all
949,chr1,145923780,145924245,465,Treg_Foxp3_all
950,chr1,146053499,146053804,305,Treg_Foxp3_all
951,chr1,146155281,146155801,520,Treg_Foxp3_all
952,chr1,146177363,146178077,714,Treg_Foxp3_all
953,chr1,153418358,153419447,740,Treg_Foxp3_all
954,chr1,155151177,155151591,92,Treg_Foxp3_all
955,chr1,155151930,155152217,287,Treg_Foxp3_all
956,chr1,155464280,155464974,589,Treg_Foxp3_all
957,chr1,156897883,156898645,762,Treg_Foxp3_all
958,chr1,157006390,157006659,269,Treg_Foxp3_all
959,chr1,161974385,161975171,593,Treg_Foxp3_all
960,chr1,162722296,162723473,296,Treg_Foxp3_all
961,chr1,163239302,163239845,430,Treg_Foxp3_all
962,chr1,163600895,163601503,417,Treg_Foxp3_all
963,chr1,163837211,163838315,869,Treg_Foxp3_all
964,chr1,166065387,166066530,1143,Treg_Foxp3_all
965,chr1,166066798,166067088,290,Treg_Foxp3_all
966,chr1,166896042,166896839,797,Treg_Foxp3_all
967,chr1,167732496,167732914,418,Treg_Foxp3_all
968,chr1,167733224,167733667,443,Treg_Foxp3_all
969,chr1,167767721,167768039,318,Treg_Foxp3_all
970,chr1,175328688,175329101,318,Treg_Foxp3_all
971,chr1,175970923,175971431,508,Treg_Foxp3_all
972,chr1,182129653,182129947,294,Treg_Foxp3_all
973,chr1,182333382,182334272,890,Treg_Foxp3_all
974,chr1,185837939,185838228,289,Treg_Foxp3_all
975,chr1,193017424,193018279,855,Treg_Foxp3_all
976,chr1,194999223,195000163,759,Treg_Foxp3_all
977,chr10,3363186,3363815,629,Treg_Foxp3_all
978,chr10,7544291,7544913,613,Treg_Foxp3_all
979,chr10,7545902,7546314,412,Treg_Foxp3_all
980,chr10,7712484,7712770,286,Treg_Foxp3_all
981,chr10,8225267,8226477,1021,Treg_Foxp3_all
982,chr10,8236610,8237128,518,Treg_Foxp3_all
983,chr10,8237239,8237831,168,Treg_Foxp3_all
984,chr10,13552351,13553249,898,Treg_Foxp3_all
985,chr10,13702204,13703254,944,Treg_Foxp3_all
986,chr10,13713067,13713697,630,Treg_Foxp3_all
987,chr10,18684607,18685046,439,Treg_Foxp3_all
988,chr10,18891521,18892101,465,Treg_Foxp3_all
989,chr10,19225712,19226353,641,Treg_Foxp3_all
990,chr10,22019107,22019565,458,Treg_Foxp3_all
991,chr10,28238102,28238471,369,Treg_Foxp3_all
992,chr10,28414826,28415156,330,Treg_Foxp3_all
993,chr10,30269846,30270237,391,Treg_Foxp3_all
994,chr10,33830386,33831322,570,Treg_Foxp3_all
995,chr10,40139686,40140025,339,Treg_Foxp3_all
996,chr10,41698338,41699070,732,Treg_Foxp3_all
997,chr10,42617259,42617918,659,Treg_Foxp3_all
998,chr10,44163684,44164036,159,Treg_Foxp3_all
999,chr10,51173355,51173979,624,Treg_Foxp3_all
1000,chr10,51174107,51174829,722,Treg_Foxp3_all
1001,chr10,53245339,53245854,515,Treg_Foxp3_all
1002,chr10,53746559,53746910,351,Treg_Foxp3_all
1003,chr10,59040492,59041557,1065,Treg_Foxp3_all
1004,chr10,62005775,62007423,1267,Treg_Foxp3_all
1005,chr10,66326933,66328202,954,Treg_Foxp3_all
1006,chr10,66528277,66528597,320,Treg_Foxp3_all
1007,chr10,66959992,66960928,917,Treg_Foxp3_all
1008,chr10,67070392,67070846,454,Treg_Foxp3_all
1009,chr10,67120682,67121273,591,Treg_Foxp3_all
1010,chr10,67502534,67503048,514,Treg_Foxp3_all
1011,chr10,74685319,74685736,381,Treg_Foxp3_all
1012,chr10,75301878,75302257,379,Treg_Foxp3_all
1013,chr10,80226137,80226663,526,Treg_Foxp3_all
1014,chr10,82466983,82467656,673,Treg_Foxp3_all
1015,chr10,92624265,92624600,335,Treg_Foxp3_all
1016,chr10,92651225,92651457,232,Treg_Foxp3_all
1017,chr10,94323281,94323857,576,Treg_Foxp3_all
1018,chr10,94776079,94776916,662,Treg_Foxp3_all
1019,chr10,95700877,95701300,102,Treg_Foxp3_all
1020,chr10,95833345,95834117,772,Treg_Foxp3_all
1021,chr10,95836820,95837432,612,Treg_Foxp3_all
1022,chr10,95863254,95863920,666,Treg_Foxp3_all
1023,chr10,96049378,96049798,420,Treg_Foxp3_all
1024,chr10,96062161,96062774,613,Treg_Foxp3_all
1025,chr10,96091012,96091314,302,Treg_Foxp3_all
1026,chr10,98207975,98208835,860,Treg_Foxp3_all
1027,chr10,98922355,98923097,690,Treg_Foxp3_all
1028,chr10,110650705,110652258,1192,Treg_Foxp3_all
1029,chr10,116001941,116002585,644,Treg_Foxp3_all
1030,chr10,117346830,117347215,158,Treg_Foxp3_all
1031,chr10,117375646,117376066,420,Treg_Foxp3_all
1032,chr10,126578088,126578394,161,Treg_Foxp3_all
1033,chr10,126578492,126579090,598,Treg_Foxp3_all
1034,chr10,126587439,126588136,697,Treg_Foxp3_all
1035,chr11,4103287,4104025,738,Treg_Foxp3_all
1036,chr11,5196629,5197032,403,Treg_Foxp3_all
1037,chr11,21003276,21003493,73,Treg_Foxp3_all
1038,chr11,21122906,21123272,366,Treg_Foxp3_all
1039,chr11,21122906,21123272,366,Treg_Foxp3_all
1040,chr11,21124087,21124438,351,Treg_Foxp3_all
1041,chr11,22592786,22593687,901,Treg_Foxp3_all
1042,chr11,22713558,22714689,1131,Treg_Foxp3_all
1043,chr11,23755408,23756044,337,Treg_Foxp3_all
1044,chr11,23756160,23756360,200,Treg_Foxp3_all
1045,chr11,26540229,26540891,662,Treg_Foxp3_all
1046,chr11,31849146,31849564,153,Treg_Foxp3_all
1047,chr11,43172062,43172733,666,Treg_Foxp3_all
1048,chr11,45896900,45897491,553,Treg_Foxp3_all
1049,chr11,46275462,46275829,367,Treg_Foxp3_all
1050,chr11,46280354,46280822,468,Treg_Foxp3_all
1051,chr11,46287640,46288139,499,Treg_Foxp3_all
1052,chr11,51889396,51890121,613,Treg_Foxp3_all
1053,chr11,54305944,54306372,428,Treg_Foxp3_all
1054,chr11,54615309,54616079,770,Treg_Foxp3_all
1055,chr11,61466396,61467019,623,Treg_Foxp3_all
1056,chr11,65607943,65608607,625,Treg_Foxp3_all
1057,chr11,68264679,68265287,608,Treg_Foxp3_all
1058,chr11,68312067,68312874,807,Treg_Foxp3_all
1059,chr11,69222819,69223430,29,Treg_Foxp3_all
1060,chr11,69224141,69224565,424,Treg_Foxp3_all
1061,chr11,70617118,70617659,541,Treg_Foxp3_all
1062,chr11,76659003,76659606,603,Treg_Foxp3_all
1063,chr11,77199584,77200279,668,Treg_Foxp3_all
1064,chr11,77989829,77990189,76,Treg_Foxp3_all
1065,chr11,77991273,77992179,170,Treg_Foxp3_all
1066,chr11,86400311,86401099,788,Treg_Foxp3_all
1067,chr11,87920987,87921187,200,Treg_Foxp3_all
1068,chr11,99032038,99032580,542,Treg_Foxp3_all
1069,chr11,99032038,99032580,492,Treg_Foxp3_all
1070,chr11,103123787,103124051,264,Treg_Foxp3_all
1071,chr11,104222952,104223458,506,Treg_Foxp3_all
1072,chr11,106963741,106964344,603,Treg_Foxp3_all
1073,chr11,107254955,107255827,827,Treg_Foxp3_all
1074,chr11,107313329,107313720,391,Treg_Foxp3_all
1075,chr11,116238405,116238945,540,Treg_Foxp3_all
1076,chr11,116267529,116268184,655,Treg_Foxp3_all
1077,chr11,116280221,116280474,253,Treg_Foxp3_all
1078,chr11,117851277,117851497,220,Treg_Foxp3_all
1079,chr11,119027210,119027815,605,Treg_Foxp3_all
1080,chr12,8357985,8358518,533,Treg_Foxp3_all
1081,chr12,16013162,16013920,732,Treg_Foxp3_all
1082,chr12,16176856,16177433,577,Treg_Foxp3_all
1083,chr12,16178384,16178859,475,Treg_Foxp3_all
1084,chr12,25277924,25278657,733,Treg_Foxp3_all
1085,chr12,25990647,25991201,554,Treg_Foxp3_all
1086,chr12,33867434,33868358,75,Treg_Foxp3_all
1087,chr12,36622899,36623143,102,Treg_Foxp3_all
1088,chr12,36623353,36623620,267,Treg_Foxp3_all
1089,chr12,52966154,52966395,241,Treg_Foxp3_all
1090,chr12,52966674,52967762,133,Treg_Foxp3_all
1091,chr12,56150722,56151319,597,Treg_Foxp3_all
1092,chr12,56589545,56590434,889,Treg_Foxp3_all
1093,chr12,71179637,71180251,614,Treg_Foxp3_all
1094,chr12,74705529,74706473,868,Treg_Foxp3_all
1095,chr12,74816465,74817286,568,Treg_Foxp3_all
1096,chr12,74942858,74943707,849,Treg_Foxp3_all
1097,chr12,74989081,74989431,350,Treg_Foxp3_all
1098,chr12,75996035,75996510,475,Treg_Foxp3_all
1099,chr12,80747429,80748316,887,Treg_Foxp3_all
1100,chr12,86309905,86310304,399,Treg_Foxp3_all
1101,chr12,86785597,86786092,495,Treg_Foxp3_all
1102,chr12,86787827,86788605,537,Treg_Foxp3_all
1103,chr12,86933926,86934283,357,Treg_Foxp3_all
1104,chr12,87046024,87047001,966,Treg_Foxp3_all
1105,chr12,99521386,99522139,753,Treg_Foxp3_all
1106,chr12,102133393,102134135,742,Treg_Foxp3_all
1107,chr12,103911122,103911373,251,Treg_Foxp3_all
1108,chr12,103911677,103912015,162,Treg_Foxp3_all
1109,chr12,109884444,109884804,360,Treg_Foxp3_all
1110,chr12,109884867,109885067,200,Treg_Foxp3_all
1111,chr12,119614618,119615966,984,Treg_Foxp3_all
1112,chr13,5713386,5714399,725,Treg_Foxp3_all
1113,chr13,5844312,5845388,1076,Treg_Foxp3_all
1114,chr13,5889214,5889707,493,Treg_Foxp3_all
1115,chr13,6626651,6626987,152,Treg_Foxp3_all
1116,chr13,18067538,18068134,596,Treg_Foxp3_all
1117,chr13,20186712,20186993,281,Treg_Foxp3_all
1118,chr13,20398361,20398564,203,Treg_Foxp3_all
1119,chr13,24709527,24709995,468,Treg_Foxp3_all
1120,chr13,30667186,30667558,372,Treg_Foxp3_all
1121,chr13,30721855,30722192,337,Treg_Foxp3_all
1122,chr13,30839452,30839929,477,Treg_Foxp3_all
1123,chr13,30840328,30840618,290,Treg_Foxp3_all
1124,chr13,30840810,30841285,64,Treg_Foxp3_all
1125,chr13,30884052,30884622,519,Treg_Foxp3_all
1126,chr13,30905158,30905695,504,Treg_Foxp3_all
1127,chr13,30909337,30909657,320,Treg_Foxp3_all
1128,chr13,30925385,30925634,249,Treg_Foxp3_all
1129,chr13,33074604,33074956,352,Treg_Foxp3_all
1130,chr13,33093105,33093610,505,Treg_Foxp3_all
1131,chr13,36899780,36900248,468,Treg_Foxp3_all
1132,chr13,36905896,36906141,245,Treg_Foxp3_all
1133,chr13,37884864,37885228,364,Treg_Foxp3_all
1134,chr13,41462439,41463130,691,Treg_Foxp3_all
1135,chr13,43335183,43335697,514,Treg_Foxp3_all
1136,chr13,43363659,43364766,638,Treg_Foxp3_all
1137,chr13,43710860,43711241,246,Treg_Foxp3_all
1138,chr13,43870458,43870958,500,Treg_Foxp3_all
1139,chr13,43884310,43884921,611,Treg_Foxp3_all
1140,chr13,44602393,44602793,400,Treg_Foxp3_all
1141,chr13,45781559,45781860,77,Treg_Foxp3_all
1142,chr13,45945625,45946382,757,Treg_Foxp3_all
1143,chr13,45947151,45947430,210,Treg_Foxp3_all
1144,chr13,45947721,45947981,260,Treg_Foxp3_all
1145,chr13,46019792,46020324,461,Treg_Foxp3_all
1146,chr13,48611219,48611915,696,Treg_Foxp3_all
1147,chr13,49074557,49074810,253,Treg_Foxp3_all
1148,chr13,51893665,51894133,468,Treg_Foxp3_all
1149,chr13,51909076,51909879,803,Treg_Foxp3_all
1150,chr13,52031267,52031592,325,Treg_Foxp3_all
1151,chr13,52031747,52032285,538,Treg_Foxp3_all
1152,chr13,52065422,52065871,449,Treg_Foxp3_all
1153,chr13,52179028,52179803,775,Treg_Foxp3_all
1154,chr13,52888930,52889373,443,Treg_Foxp3_all
1155,chr13,53009198,53009688,324,Treg_Foxp3_all
1156,chr13,54283562,54284203,641,Treg_Foxp3_all
1157,chr13,56608351,56608880,529,Treg_Foxp3_all
1158,chr13,81314670,81315523,853,Treg_Foxp3_all
1159,chr13,96466710,96467331,566,Treg_Foxp3_all
1160,chr13,97257253,97257547,294,Treg_Foxp3_all
1161,chr13,97726327,97726993,666,Treg_Foxp3_all
1162,chr13,105396873,105397224,351,Treg_Foxp3_all
1163,chr13,112048180,112049297,873,Treg_Foxp3_all
1164,chr13,117837067,117837683,616,Treg_Foxp3_all
1165,chr13,118049326,118050169,542,Treg_Foxp3_all
1166,chr14,15465061,15466323,526,Treg_Foxp3_all
1167,chr14,20992930,20993565,635,Treg_Foxp3_all
1168,chr14,21198961,21199578,617,Treg_Foxp3_all
1169,chr14,21931831,21932477,561,Treg_Foxp3_all
1170,chr14,28154472,28155026,554,Treg_Foxp3_all
1171,chr14,28197307,28197694,387,Treg_Foxp3_all
1172,chr14,32180902,32181494,592,Treg_Foxp3_all
1173,chr14,45660641,45661153,512,Treg_Foxp3_all
1174,chr14,45721922,45722188,266,Treg_Foxp3_all
1175,chr14,54841892,54842598,706,Treg_Foxp3_all
1176,chr14,54852682,54853492,810,Treg_Foxp3_all
1177,chr14,56343208,56343849,641,Treg_Foxp3_all
1178,chr14,56880954,56881488,534,Treg_Foxp3_all
1179,chr14,62636029,62636463,434,Treg_Foxp3_all
1180,chr14,70377567,70377862,295,Treg_Foxp3_all
1181,chr14,70683353,70683820,467,Treg_Foxp3_all
1182,chr14,73108678,73110106,485,Treg_Foxp3_all
1183,chr14,73221336,73222434,944,Treg_Foxp3_all
1184,chr14,73487531,73488038,507,Treg_Foxp3_all
1185,chr14,73653449,73653678,229,Treg_Foxp3_all
1186,chr14,75578259,75578698,56,Treg_Foxp3_all
1187,chr14,75578950,75579681,731,Treg_Foxp3_all
1188,chr14,75586057,75586393,336,Treg_Foxp3_all
1189,chr14,75592155,75593039,884,Treg_Foxp3_all
1190,chr14,77181089,77181798,709,Treg_Foxp3_all
1191,chr14,101876198,101877405,898,Treg_Foxp3_all
1192,chr14,122222223,122222626,403,Treg_Foxp3_all
1193,chr14,122228994,122229797,803,Treg_Foxp3_all
1194,chr14,122305534,122305977,206,Treg_Foxp3_all
1195,chr14,122353640,122354792,879,Treg_Foxp3_all
1196,chr14,122441272,122441969,165,Treg_Foxp3_all
1197,chr14,122451857,122452240,383,Treg_Foxp3_all
1198,chr14,122452578,122452927,291,Treg_Foxp3_all
1199,chr14,122457156,122457405,249,Treg_Foxp3_all
1200,chr14,123251209,123252164,856,Treg_Foxp3_all
1201,chr15,6505549,6505976,427,Treg_Foxp3_all
1202,chr15,6518634,6519434,800,Treg_Foxp3_all
1203,chr15,6676503,6676736,233,Treg_Foxp3_all
1204,chr15,10074260,10074668,408,Treg_Foxp3_all
1205,chr15,11939899,11940918,1019,Treg_Foxp3_all
1206,chr15,27526248,27527174,566,Treg_Foxp3_all
1207,chr15,27570817,27571510,693,Treg_Foxp3_all
1208,chr15,36293714,36294239,525,Treg_Foxp3_all
1209,chr15,36325890,36326433,443,Treg_Foxp3_all
1210,chr15,50192834,50194041,376,Treg_Foxp3_all
1211,chr15,50498636,50499622,951,Treg_Foxp3_all
1212,chr15,50529150,50530410,1012,Treg_Foxp3_all
1213,chr15,50582638,50582838,200,Treg_Foxp3_all
1214,chr15,52988457,52989407,950,Treg_Foxp3_all
1215,chr15,58516081,58517002,775,Treg_Foxp3_all
1216,chr15,58937444,58937955,511,Treg_Foxp3_all
1217,chr15,59403462,59403762,300,Treg_Foxp3_all
1218,chr15,61271375,61272101,406,Treg_Foxp3_all
1219,chr15,61273294,61273602,308,Treg_Foxp3_all
1220,chr15,61279986,61280462,476,Treg_Foxp3_all
1221,chr15,61996262,61996778,516,Treg_Foxp3_all
1222,chr15,62000786,62001667,881,Treg_Foxp3_all
1223,chr15,62009202,62009876,674,Treg_Foxp3_all
1224,chr15,62021120,62021760,640,Treg_Foxp3_all
1225,chr15,62076948,62077267,319,Treg_Foxp3_all
1226,chr15,62566404,62566621,217,Treg_Foxp3_all
1227,chr15,62655423,62655990,567,Treg_Foxp3_all
1228,chr15,62656736,62657023,287,Treg_Foxp3_all
1229,chr15,63906722,63907615,822,Treg_Foxp3_all
1230,chr15,64043198,64043427,229,Treg_Foxp3_all
1231,chr15,64066244,64066968,101,Treg_Foxp3_all
1232,chr15,66276694,66277756,921,Treg_Foxp3_all
1233,chr15,66829822,66830172,350,Treg_Foxp3_all
1234,chr15,66961505,66961909,404,Treg_Foxp3_all
1235,chr15,72980086,72980422,336,Treg_Foxp3_all
1236,chr15,72985096,72985357,222,Treg_Foxp3_all
1237,chr15,72986818,72987204,386,Treg_Foxp3_all
1238,chr15,73000916,73001287,371,Treg_Foxp3_all
1239,chr15,97203024,97204850,1653,Treg_Foxp3_all
1240,chr15,99890916,99891684,572,Treg_Foxp3_all
1241,chr15,101088758,101089391,633,Treg_Foxp3_all
1242,chr16,11475462,11476332,771,Treg_Foxp3_all
1243,chr16,23144289,23144871,582,Treg_Foxp3_all
